Species,Classification,TE_Presence,Gene_Count
Alyrata,gbM,0,1092
Alyrata,unM,0,1684
Alyrata,teM,0,83
Alyrata,gbM,1,3326
Alyrata,unM,1,7881
Alyrata,teM,1,1683
