Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Alyrata,gbM,0,gbM-gbM,739,0.255267702936097
Alyrata,gbM,1,gbM-gbM,2156,0.744732297063903
Alyrata,gbM,0,gbM-teM,26,0.156626506024096
Alyrata,teM,0,gbM-teM,13,0.0714285714285714
Alyrata,gbM,1,gbM-teM,140,0.843373493975904
Alyrata,teM,1,gbM-teM,169,0.928571428571429
Alyrata,gbM,0,gbM-unM,239,0.242147922998987
Alyrata,unM,0,gbM-unM,220,0.22022022022022
Alyrata,gbM,1,gbM-unM,748,0.757852077001013
Alyrata,unM,1,gbM-unM,779,0.77977977977978
Alyrata,teM,0,teM-teM,45,0.0484913793103448
Alyrata,teM,1,teM-teM,883,0.951508620689655
Alyrata,unM,0,unM-teM,58,0.136150234741784
Alyrata,teM,0,unM-teM,15,0.0334821428571429
Alyrata,unM,1,unM-teM,368,0.863849765258216
Alyrata,teM,1,unM-teM,433,0.966517857142857
Alyrata,unM,0,unM-unM,1294,0.166860090264346
Alyrata,unM,1,unM-unM,6461,0.833139909735654
